x0000,y0000
0.5802320928,-46.8945631872
0.5842336935,-42.8884480372
0.5882352941,-48.3677225212
0.5922368948,-48.9525675900
0.5962384954,-45.3410891993
0.6002400960,-45.2004394084
0.6042416967,-49.3561519917
0.6082432973,-56.7938037083
0.612244898,-56.5604995187
0.6162464986,-55.8088769742
0.6202480992,-49.3410702478
0.6242496999,-55.8379534226
0.6282513005,-64.1712443156
0.6322529012,-56.8014089108
0.6362545018,-66.7355870267
0.6402561024,-62.2923234191
0.6442577031,-59.0614680050
0.6482593037,-64.922603694
0.6522609044,-65.7823109549
0.6562625050,-66.1073036074
0.6602641056,-60.3318536672
0.6642657063,-51.0883669515
0.6682673069,-52.4395350469
0.6722689076,-45.0338213421
0.6762705082,-40.6185032215
0.6802721088,-46.9673471796
0.6842737095,-49.1611427515
0.6882753101,-47.8618138952
0.6922769108,-41.9887760933
0.6962785114,-40.7112883318
0.7002801120,-40.7902930331
0.7042817127,-32.0752789748
0.7082833133,-27.3879300746
0.712284914,-20.6571897600
0.7162865146,-26.24290689
0.7202881152,-14.0538663355
0.7242897159,-3.9553888938
0.7282913165,0.2452148503
0.7322929172,8.6599049556
0.7362945178,9.3292483128
0.7402961184,20.6092062515
0.7442977191,19.6785962057
0.7482993197,23.1691007234
0.7523009204,27.1902974226
0.7563025210,20.4669066337
0.7603041216,32.5038497799
0.7643057223,34.9874762363
0.7683073229,34.7283108319
0.7723089236,48.1896011329
0.7763105242,48.7321867079
0.7803121248,45.8466682839
0.7843137255,56.5074933126
0.7883153261,61.9701083201
0.7923169268,64.1390933959
0.7963185274,59.828982868
0.8003201281,57.2540456927
0.8043217287,56.4054223209
0.8083233293,61.9712186605
0.81232493,71.7576722915
0.8163265306,60.1051487761
0.8203281313,60.3154554074
0.8243297319,64.0387973759
0.8283313325,55.40990711
0.8323329332,54.9726102067
0.8363345338,53.9419715963
0.8403361345,54.5562689723
0.8443377351,41.6634993281
0.8483393357,39.6349685005
0.8523409364,57.391459316
0.8563425370,47.1773123855
0.8603441377,42.7007582035
0.8643457383,44.7192787629
0.8683473389,39.3055717862
0.8723489396,42.7114808944
0.8763505402,46.3400011349
0.8803521409,44.6300662136
0.8843537415,42.8608592651
0.8883553421,37.2659856607
0.8923569428,40.9422483995
0.8963585434,44.1098403425
0.9003601441,44.8976066516
0.9043617447,33.6333232126
0.9083633453,27.7979612367
0.912364946,38.536944305
0.9163665466,38.6021363255
0.9203681473,39.3885507673
0.9243697479,36.8486888950
0.9283713485,31.2635777428
0.9323729492,37.0094181726
0.9363745498,32.6414132249
0.9403761505,27.7869113296
0.9443777511,30.3873428303
0.9483793517,31.3892590401
0.9523809524,25.8945257968
0.9563825530,25.8565143854
0.9603841537,25.0171858936
0.9643857543,19.4185368075
0.9683873549,21.7960617487
0.9723889556,22.8396136581
0.9763905562,9.9697320109
0.9803921569,13.4224943938
0.9843937575,19.8724054542
0.9883953581,11.4872018666
0.9923969588,8.2141115833
0.9963985594,7.9853657681
1.0004001601,6.3796953011
1.0044017607,4.4336030334
1.0084033613,4.1484136190
1.012404962,9.9325320891
1.0164065626,12.4534492502
1.0204081633,11.3333888724
1.0244097639,6.2504877271
1.0284113645,11.5323820999
1.0324129652,10.2111737024
1.0364145658,-0.2828503497
1.0404161665,1.6111091536
1.0444177671,4.4925218066
1.0484193677,3.8662611270
1.0524209684,3.6596191365
1.0564225690,-3.054879554
1.0604241697,-0.0434403086
1.0644257703,5.4786802420
1.0684273709,0.233349547
1.0724289716,0.7284285843
1.0764305722,-12.025861665
1.0804321729,-6.0638069772
1.0844337735,6.5162550927
1.0884353741,5.5738739562
1.0924369748,-3.2339653506
1.0964385754,-13.3354148766
1.1004401761,-4.7562447522
1.1044417767,-2.3006574392
1.1084433774,-9.7428599777
1.112444978,-15.8889262533
1.1164465786,-15.2333301983
1.1204481793,-12.8323074163
1.1244497799,-20.0047971751
1.1284513806,-16.6215935572
1.1324529812,-13.4348646855
1.1364545818,-21.7657612287
1.1404561825,-31.1272087109
1.1444577831,-25.8685120192
1.1484593838,-19.4735113487
1.1524609844,-12.6039801146
1.1564625850,-11.22089145
1.1604641857,-4.4008940854
1.1644657863,-10.5126302483
1.168467387,-9.2585764207
1.1724689876,-12.3312880252
1.1764705882,-16.3357288559
1.1804721889,-19.3133858465
1.1844737895,-24.8270006140
1.1884753902,-26.674885289
1.1924769908,-17.3205120095
1.1964785914,-18.5654644726
1.2004801921,-26.7907242627
1.2044817927,-28.6220116391
1.2084833934,-28.0711064836
1.212484994,-23.7109256018
1.2164865946,-14.9671592713
1.2204881953,-19.5181032465
1.2244897959,-27.9259457056
1.2284913966,-23.8434399558
1.2324929972,-11.8025847446
1.2364945978,-16.6537811716
1.2404961985,-16.1234205299
1.2444977991,-12.1403829245
1.2484993998,-10.9977172204
1.2525010004,-18.4032340687
1.2565026010,-22.1239679056
1.2605042017,-16.7194489401
1.2645058023,-12.4226114752
1.268507403,-19.2553031747
1.2725090036,-19.2931561130
1.2765106042,-14.3797149012
1.2805122049,-1.4031322582
1.2845138055,-10.7032544786
1.2885154062,-25.4458034016
1.2925170068,-15.8377146724
1.2965186074,-14.4437477203
1.3005202081,-7.2558547696
1.3045218087,-7.0836421049
1.3085234094,-12.5485167824
1.3125250100,-7.4888128986
1.3165266106,-8.6617398560
1.3205282113,-0.4372973247
1.3245298119,-6.5651872015
1.3285314126,-11.5230601274
1.3325330132,-4.7378636553
1.3365346138,-3.6059286785
1.3405362145,-6.3568594698
1.3445378151,-3.7069352177
1.3485394158,-1.0833061721
1.3525410164,-5.6734901004
1.3565426170,-11.209437217
1.3605442177,-12.8816388688
1.3645458183,-4.4921212103
1.368547419,-8.4158693184
1.3725490196,-4.5509841787
1.3765506202,-16.8428703235
1.3805522209,-10.7958787588
1.3845538215,-1.5174511525
1.3885554222,-16.0616053294
1.3925570228,-11.4865772061
1.3965586234,-7.1397187045
1.4005602241,-2.8740389987
1.4045618247,-5.0810997588
1.4085634254,-5.2574221955
1.4125650260,-1.0702459232
1.4165666267,-5.3534069106
1.4205682273,-0.0176865549
1.4245698279,2.7460066723
1.4285714286,3.0764122798
1.4325730292,3.1370341562
1.4365746299,-1.5856719018
1.4405762305,-4.4453407515
1.4445778311,1.3410684334
1.4485794318,3.7698529075
1.4525810324,4.1527646089
1.4565826331,0.3374685859
1.4605842337,3.7661230531
1.4645858343,4.5628607230
1.468587435,1.3347518898
1.4725890356,0.7477282287
1.4765906363,-1.3145640647
1.4805922369,10.5435696329
1.4845938375,14.4836142700
1.4885954382,1.3183159255
1.4925970388,6.7221196241
1.4965986395,8.6634659325
1.5006002401,6.334110153
1.5046018407,1.6001881135
1.5086034414,2.1129149508
1.5126050420,16.5535157776
1.5166066427,15.2090569182
1.5206082433,6.5254582521
1.5246098439,-0.1939467175
1.5286114446,-2.034008527
1.5326130452,11.0874320074
1.5366146459,6.9501119038
1.5406162465,-0.5267762993
1.5446178471,9.1602917090
1.5486194478,14.6756272239
1.5526210484,4.3171294007
1.5566226491,4.2840888409
1.5606242497,13.8021532129
1.5646258503,13.0523725175
1.568627451,12.6896845069
1.5726290516,18.0852538704
1.5766306523,16.5797915252
1.5806322529,20.8399410073
1.5846338535,12.8983846449
1.5886354542,4.5132311952
1.5926370548,3.3767391493
1.5966386555,3.9810030233
1.6006402561,17.4598129615
1.6046418567,9.9979016718
1.6086434574,5.5840758736
1.6126450580,2.5012068359
1.6166466587,4.4807856488
1.6206482593,1.6327270231
1.6246498599,-0.6422688799
1.6286514606,7.4166505429
1.6326530612,14.5611951038
1.6366546619,13.9886716216
1.6406562625,15.7731732544
1.6446578631,16.9867616292
1.6486594638,16.5954558521
1.6526610644,18.2811765549
1.6566626651,13.6400031445
1.6606642657,10.6997160185
1.6646658663,-0.0251736307
1.668667467,-10.3439859015
1.6726690676,-11.5740446956
1.6766706683,-10.2029271916
1.6806722689,-7.9457093608
1.6846738695,-20.9350132614
1.6886754702,-14.3508196479
1.6926770708,-4.7614026294
1.6966786715,-5.970456886
1.7006802721,0.8868768413
1.7046818727,5.1132227317
1.7086834734,8.9021793206
1.7126850740,3.4159568837
1.7166866747,-0.7881199337
1.7206882753,-0.6740510783
1.724689876,-0.2031238013
1.7286914766,1.7122813416
1.7326930772,4.6319130657
1.7366946779,-5.6203595268
1.7406962785,-7.5671764276
1.7446978792,-9.6530203364
1.7486994798,-5.2597941173
1.7527010804,-7.5699701862
1.7567026811,-8.44700736
1.7607042817,-8.1295030407
1.7647058824,-7.6879506316
1.768707483,5.5495941360
1.7727090836,9.4046956959
1.7767106843,3.7726488876
1.7807122849,9.5352937461
1.7847138856,13.1660334163
1.7887154862,9.9607791440
1.7927170868,18.1845690590
1.7967186875,5.8735462470
1.8007202881,2.9384452123
1.8047218888,-3.0632582553
1.8087234894,-0.1816829924
1.8127250900,-10.1257019507
1.8167266907,-18.1346057653
1.8207282913,-12.5494166452
1.824729892,-18.1692988336
1.8287314926,-22.9225024161
1.8327330932,-14.8140218441
1.8367346939,-15.8484114089
1.8407362945,-22.0035806907
1.8447378952,-24.6903345387
1.8487394958,-18.9169071035
1.8527410964,-12.6178066420
1.8567426971,-8.5174232450
1.8607442977,-0.9038631242
