EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-116871.690,-112078.805,-97782.866,-134855.627,-128508.922,-150269.603,-86450.917,34374.345,-0.118,0.993,-0.092,-0.305,-0.214,-1.648,66.667,48.000,1.000
-112982.981,-110115.808,-95383.211,-129652.353,-123728.183,-143812.932,-83532.169,31029.187,-0.120,0.992,-0.095,-0.092,-0.031,-1.709,66.667,49.000,1.000
-109265.354,-107769.823,-93826.428,-124589.701,-119013.407,-137549.626,-81155.671,27973.988,-0.121,0.991,-0.096,0.122,0.000,-1.709,66.667,50.000,1.000
-105524.410,-104608.824,-92579.872,-119816.013,-114044.667,-131545.509,-79282.209,25417.449,-0.122,0.991,-0.098,0.275,0.061,-1.801,66.667,51.000,1.000
-101524.119,-100889.504,-90828.137,-115129.531,-108708.177,-125519.801,-77337.418,23110.384,-0.121,0.994,-0.097,0.458,0.153,-1.617,66.667,52.000,1.000
-97317.725,-97513.709,-88235.463,-110254.597,-103291.810,-119186.107,-74812.539,20535.153,-0.121,0.998,-0.094,0.488,0.366,-1.709,66.667,53.000,1.000
-93124.902,-94974.678,-85122.503,-105032.589,-98176.405,-112582.158,-71694.027,17527.659,-0.120,1.000,-0.096,0.702,0.427,-1.740,66.667,54.000,1.000
-89021.981,-92555.587,-82195.709,-99562.551,-93357.597,-106050.924,-68503.676,14579.582,-0.122,1.001,-0.097,0.732,0.488,-1.801,66.667,55.000,1.000
-84899.462,-89115.926,-79945.297,-94208.610,-88428.593,-99871.410,-65841.908,12280.807,-0.125,1.004,-0.098,0.732,0.458,-1.740,66.667,56.000,1.000
-80675.729,-84672.419,-78062.359,-89271.822,-83107.251,-93930.184,-63712.304,10512.115,-0.125,1.006,-0.099,0.671,0.580,-1.801,66.667,57.000,1.000
-76409.625,-80568.585,-75622.267,-84574.011,-77640.695,-87843.953,-61398.540,8513.251,-0.123,1.006,-0.101,0.580,0.610,-1.617,66.667,58.000,1.000
-72183.570,-77746.213,-72159.439,-79575.041,-72517.748,-81438.741,-58270.070,5869.876,-0.125,1.008,-0.103,0.519,0.671,-1.526,66.667,59.000,1.000
-67988.820,-75382.096,-68417.815,-74063.380,-67830.746,-75007.134,-54660.716,3126.618,-0.125,1.009,-0.098,0.488,0.580,-1.495,66.667,60.000,1.000
-63786.611,-71906.094,-65575.638,-68542.484,-63143.181,-68975.398,-51581.402,1108.740,-0.126,1.008,-0.099,0.244,0.641,-1.404,66.667,61.000,1.000
-59607.354,-67167.002,-63693.820,-63653.861,-58074.265,-63360.713,-49433.768,-207.363,-0.126,1.008,-0.100,0.183,0.702,-1.282,66.667,62.000,1.000
-55507.295,-62746.938,-61482.916,-59298.241,-52829.329,-57732.718,-47388.747,-1714.650,-0.125,1.009,-0.098,0.031,0.641,-1.221,66.667,63.000,1.000
-51464.619,-59854.231,-57948.659,-54694.722,-47944.512,-51774.310,-44412.442,-3983.781,-0.128,1.009,-0.096,-0.092,0.549,-1.221,66.667,64.000,1.000
-47408.727,-57636.397,-53819.968,-49421.075,-43571.759,-45722.546,-40686.100,-6461.844,-0.127,1.012,-0.093,-0.336,0.488,-1.129,66.667,65.000,1.000
-43351.097,-54303.515,-50696.001,-44048.156,-39273.479,-40081.365,-37454.521,-8198.038,-0.129,1.013,-0.091,-0.519,0.427,-0.916,66.667,66.000,1.000
-39398.922,-49590.341,-48896.785,-39421.683,-34617.599,-34957.716,-35380.405,-9142.534,-0.128,1.012,-0.094,-0.732,0.305,-0.824,66.667,67.000,1.000
-35604.281,-45159.799,-46946.620,-35505.073,-29769.444,-29911.579,-33604.403,-10233.004,-0.129,1.012,-0.093,-0.977,0.244,-0.671,66.667,68.000,1.000
-31874.030,-42344.147,-43530.592,-31391.665,-25272.571,-24543.607,-30867.405,-12123.296,-0.130,1.010,-0.095,-1.099,0.183,-0.580,66.667,69.000,1.000
-28098.091,-40317.641,-39324.771,-26533.306,-21315.980,-19040.921,-27233.735,-14288.687,-0.131,1.009,-0.092,-1.221,-0.061,-0.458,66.667,70.000,1.000
-24322.888,-37230.903,-36138.353,-21516.501,-17486.453,-13936.720,-24045.052,-15742.583,-0.131,1.008,-0.094,-1.251,-0.183,-0.397,66.667,71.000,1.000
-20705.126,-32751.150,-34459.653,-17285.518,-13338.613,-9396.263,-22111.764,-16384.849,-0.133,1.006,-0.090,-1.465,-0.305,-0.214,66.667,72.000,1.000
-17293.340,-28510.351,-32764.192,-13851.320,-8999.392,-4996.161,-20598.356,-17132.029,-0.134,1.004,-0.091,-1.556,-0.549,-0.214,66.667,73.000,1.000
-13951.017,-25860.804,-29582.340,-10268.403,-4987.690,-299.793,-18152.630,-18659.767,-0.135,1.004,-0.091,-1.556,-0.763,-0.244,66.667,74.000,1.000
-10546.731,-24043.340,-25515.935,-5929.500,-1508.975,4551.082,-14752.094,-20490.686,-0.137,1.002,-0.089,-1.587,-1.007,-0.305,66.667,75.000,1.000
-7148.436,-21265.930,-22425.843,-1401.109,1809.800,9030.238,-11736.972,-21666.075,-0.136,1.002,-0.089,-1.587,-1.282,-0.336,66.667,76.000,1.000
